vendor,arxiv_id,title,pages,status,error,text_file
DeepSeek,2511.22570,DeepSeekMath-V2: Towards Self-Verifiable Mathematical Reasoning,19,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2511.22570_DeepSeek.txt
DeepSeek,2512.02556,DeepSeek-V3.2: Pushing the Frontier of Open Large Language Models,23,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2512.02556_DeepSeek.txt
DeepSeek,2601.20552,DeepSeek-OCR 2: Visual Causal Flow,15,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2601.20552_DeepSeek.txt
DeepSeek,2606.19348,DeepSeek-V4: Towards Highly Efficient Million-Token Context Intelligence,58,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2606.19348_DeepSeek.txt
Kimi_Moonshot,2407.00079,Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving,23,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2407.00079_Kimi_Moonshot.txt
Kimi_Moonshot,2501.12599,Kimi k1.5: Scaling Reinforcement Learning with LLMs,25,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2501.12599_Kimi_Moonshot.txt
Kimi_Moonshot,2504.07491,Kimi-VL Technical Report,24,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2504.07491_Kimi_Moonshot.txt
Kimi_Moonshot,2504.18425,Kimi-Audio Technical Report,26,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2504.18425_Kimi_Moonshot.txt
Kimi_Moonshot,2507.20534,Kimi K2: Open Agentic Intelligence,32,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2507.20534_Kimi_Moonshot.txt
Kimi_Moonshot,2509.23045,Kimi-Dev: Agentless Training as Skill Prior for SWE-Agents,68,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2509.23045_Kimi_Moonshot.txt
Kimi_Moonshot,2510.26692,"Kimi Linear: An Expressive, Efficient Attention Architecture",28,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2510.26692_Kimi_Moonshot.txt
Kimi_Moonshot,2602.02276,Kimi K2.5: Visual Agentic Intelligence,30,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2602.02276_Kimi_Moonshot.txt
Kimi_Moonshot,2603.15031,Attention Residuals,21,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2603.15031_Kimi_Moonshot.txt
GLM_Zhipu_THUDM,2103.10360,GLM: General Language Model Pretraining with Autoregressive Blank Infilling,16,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2103.10360_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2205.15868,CogVideo: Large-scale Pretraining for Text-to-Video Generation via Transformers,15,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2205.15868_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2210.02414,GLM-130B: An Open Bilingual Pre-trained Model,56,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2210.02414_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2303.17568,CodeGeeX: A Pre-Trained Model for Code Generation with Multilingual Benchmarking on HumanEval-X,30,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2303.17568_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2306.07906,WebGLM: Towards An Efficient Web-Enhanced Question Answering System with Human Preferences,42,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2306.07906_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2311.03079,CogVLM: Visual Expert for Pretrained Language Models,17,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2311.03079_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2401.18058,LongAlign: A Recipe for Long Context Alignment of Large Language Models,19,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2401.18058_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2404.00934,ChatGLM-RLHF: Practices of Aligning Large Language Models with Human Feedback,14,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2404.00934_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2404.02893,ChatGLM-Math: Improving Math Problem-Solving in Large Language Models with a Self-Critique Pipeline,28,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2404.02893_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2406.12793,ChatGLM: A Family of Large Language Models from GLM-130B to GLM-4 All Tools,19,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2406.12793_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2408.06072,CogVideoX: Text-to-Video Diffusion Models with An Expert Transformer,30,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2408.06072_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2408.16500,CogVLM2: Visual Language Models for Image and Video Understanding,27,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2408.16500_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2412.02612,GLM-4-Voice: Towards Intelligent and Human-Like End-to-End Spoken Chatbot,14,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2412.02612_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2507.01006,GLM-4.5V and GLM-4.1V-Thinking: Towards Versatile Multimodal Reasoning with Scalable Reinforcement Learning,42,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2507.01006_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2508.06471,"GLM-4.5: Agentic, Reasoning, and Coding (ARC) Foundation Models",26,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2508.06471_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2512.14291,GLM-TTS Technical Report,14,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2512.14291_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2602.15763,GLM-5: from Vibe Coding to Agentic Engineering,40,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2602.15763_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2603.10910,GLM-OCR Technical Report,17,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2603.10910_GLM_Zhipu_THUDM.txt
GLM_Zhipu_THUDM,2604.26752,GLM-5V-Turbo: Toward a Native Foundation Model for Multimodal Agents,30,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2604.26752_GLM_Zhipu_THUDM.txt
MiMo_Xiaomi,2505.07608,MiMo: Unlocking the Reasoning Potential of Language Model -- From Pretraining to Posttraining,28,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2505.07608_MiMo_Xiaomi.txt
MiMo_Xiaomi,2506.03569,MiMo-VL Technical Report,32,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2506.03569_MiMo_Xiaomi.txt
MiMo_Xiaomi,2512.17436,Xiaomi MiMo-VL-Miloco Technical Report,12,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2512.17436_MiMo_Xiaomi.txt
MiMo_Xiaomi,2512.23808,MiMo-Audio: Audio Language Models are Few-Shot Learners,31,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2512.23808_MiMo_Xiaomi.txt
MiMo_Xiaomi,2601.02780,MiMo-V2-Flash Technical Report,31,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2601.02780_MiMo_Xiaomi.txt
MiniMax,2501.08313,MiniMax-01: Scaling Foundation Models with Lightning Attention,68,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2501.08313_MiniMax.txt
MiniMax,2505.07916,MiniMax-Speech: Intrinsic Zero-Shot Text-to-Speech with a Learnable Speaker Encoder,20,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2505.07916_MiniMax.txt
MiniMax,2506.13585,MiniMax-M1: Scaling Test-Time Compute Efficiently with Lightning Attention,22,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2506.13585_MiniMax.txt
MiniMax,2605.26494,The MiniMax-M2 Series: Mini Activations Unleashing Max Real-World Intelligence,35,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2605.26494_MiniMax.txt
MiniMax,2606.13392,MiniMax Sparse Attention,30,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2606.13392_MiniMax.txt
MiniMax,2606.13473,MaxProof: Scaling Mathematical Proof with Generative-Verifier RL and Population-Level Test-Time Scaling,71,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2606.13473_MiniMax.txt
